year,temp
1900,4.5
1901,3.4
1902,3.84
1903,3.9
1904,4.58
1905,3.57
1906,3.9
1907,3.91
1908,3.77
1909,3.2
1910,3.68
1911,4.84
1912,3.76
1913,4.31
1914,3.94
1915,3.76
1916,4.13
1917,3.3
1918,4.33
1919,3.36
1920,5.06
1921,5.23
1922,3.69
1923,4.41
1924,4.07
1925,4.03
1926,4.74
1927,4.51
1928,4.86
1929,4.11
1930,4.91
1931,3.7
1932,4.27
1933,3.83
1934,5.13
1935,4.02
1936,4.39
1937,4.57
1938,4.41
1939,4.04
1940,3.45
1941,3.55
1942,4.31
1943,5.26
1944,3.95
1945,4.91
1946,4.74
1947,5.62
1948,5.28
1949,5.43
1950,5.03
1951,4.72
1952,4.42
1953,4.9
1954,4.03
1955,4.19
1956,3.1
1957,4.79
1958,4.66
1959,5.28
1960,4.41
1961,5.53
1962,3.7
1963,3.71
1964,4.93
1965,3.68
1966,4.64
1967,4.71
1968,4.34
1969,4.08
1970,4.07
1971,4.62
1972,4.24
1973,4.25
1974,4.49
1975,4.75
1976,4.62
1977,4.74
1978,4.15
1979,4.43
1980,3.84
1981,4.48
1982,5.22
1983,5.34
1984,4.12
1985,4.36
1986,4.61
1987,4.69
1988,5.35
1989,5.85
1990,5.7
1991,4.98
1992,5.72
1993,5.18
1994,6.38
1995,5.2
1996,4.62
1997,5.85
1998,5.46
1999,5.37
2000,5.99
2001,5.46
2002,6.08
2003,6.24
2004,5.4
2005,4.99
2006,5.95
2007,6.07
2008,5.62
2009,5.81
2010,4.69
2011,6.62
2012,5.81
2013,5.27
2014,6.51
2015,6.67
2016,6.07
2017,6.18
2018,6.88
2019,6.92
2020,6.96
2021,7.00
2022,7.05
2023,7.09
2024,7.13
2025,7.17
2026,7.21
2027,7.25
2028,7.29
2029,7.34
2030,7.38
2031,7.42
2032,7.46
2033,7.50
2034,7.54
2035,7.58
2036,7.62
2037,7.67
2038,7.71
2039,7.75
2040,7.79
2041,7.83
2042,7.87
2043,7.91
2044,7.96
2045,8.00
2046,8.04
2047,8.08
2048,8.12
2049,8.16
2050,8.20
2051,8.25
2052,8.29
2053,8.33
2054,8.37
2055,8.41
2056,8.45
2057,8.49
2058,8.54
2059,8.58
2060,8.62
2061,8.66
2062,8.70
2063,8.74
2064,8.78
2065,8.82
2066,8.87
2067,8.91
2068,8.95
2069,8.99
2070,9.03
2071,9.07
2072,9.11
2073,9.16
2074,9.20
2075,9.24
2076,9.28
2077,9.32
2078,9.36
2079,9.40
2080,9.45
2081,9.49
2082,9.53
2083,9.57
2084,9.61
2085,9.65
2086,9.69
2087,9.74
2088,9.78
2089,9.82
2090,9.86
